Date,Open,High,Low,Close
28-04-2013,135.3,135.98,132.1,134.21
29-04-2013,134.44,147.49,134,144.54
30-04-2013,144,146.93,134.05,139
01-05-2013,139,139.89,107.72,116.99
02-05-2013,116.38,125.6,92.28,105.21
03-05-2013,106.25,108.13,79.1,97.75
04-05-2013,98.1,115,92.5,112.5
05-05-2013,112.9,118.8,107.14,115.91
06-05-2013,115.98,124.66,106.64,112.3
07-05-2013,112.25,113.44,97.7,111.5
08-05-2013,109.6,115.78,109.6,113.57
09-05-2013,113.2,113.46,109.26,112.67
10-05-2013,112.8,122,111.55,117.2
11-05-2013,117.7,118.68,113.01,115.24
12-05-2013,115.64,117.45,113.43,115
13-05-2013,114.82,118.7,114.5,117.98
14-05-2013,117.98,119.8,110.25,111.5
15-05-2013,111.4,115.81,103.5,114.22
16-05-2013,114.22,118.76,112.2,118.76
17-05-2013,118.21,125.3,116.57,123.01
18-05-2013,123.5,125.25,122.3,123.5
19-05-2013,123.21,124.5,119.57,121.99
20-05-2013,122.5,123.62,120.12,122
21-05-2013,122.02,123,121.21,122.88
22-05-2013,122.89,124,122,123.89
23-05-2013,123.8,126.93,123.1,126.7
24-05-2013,126.3,133.85,125.72,133.2
25-05-2013,133.1,133.22,128.9,131.98
26-05-2013,131.99,136,130.62,133.48
27-05-2013,133.5,135.46,124.7,129.74
28-05-2013,129.77,130.58,125.6,129
29-05-2013,129,132.59,127.66,132.3
30-05-2013,132.25,132.25,127,128.8
31-05-2013,128.8,129.9,126.4,129
01-06-2013,128.82,129.78,127.2,129.3
02-06-2013,129.3,129.4,115.05,122.29
03-06-2013,122.5,122.5,116,122.22
04-06-2013,120.74,123.84,119.1,121.42
05-06-2013,121.4,123.47,119.9,121.65
06-06-2013,121.9,123.1,117.25,118
07-06-2013,118.97,119,106.42,111.5
08-06-2013,111,111.42,107.3,108.3
09-06-2013,107.89,108.99,88.5,100
10-06-2013,100.44,110.1,95,106.35
11-06-2013,106.35,109.6,104,108.9
12-06-2013,109,111.79,106.73,108.15
13-06-2013,108.78,110.3,100.53,104
14-06-2013,103.95,104.7,98,99.98
15-06-2013,100,103.7,98,99.99
16-06-2013,99.8,101.6,98.95,99.51
17-06-2013,99.9,102.21,99,101.7
18-06-2013,101.95,111.11,101.03,107.4
19-06-2013,107.05,110.22,105.75,108.25
20-06-2013,108.25,114.3,107.5,110.15
21-06-2013,111.29,114.99,107.68,109.5
22-06-2013,109.5,109.96,107.51,108.3
23-06-2013,108.2,108.8,106.23,107.6
24-06-2013,107.9,108.33,100.98,102.74
25-06-2013,102.09,106.47,101.01,103.95
26-06-2013,103.33,105.49,102.79,104
27-06-2013,104,104,101.1,101.44
28-06-2013,101.74,101.74,92.33,94.65
29-06-2013,94.66,99.99,93,94.99
30-06-2013,95,98.12,94.22,96.61
01-07-2013,97.51,97.66,86.3,88.05
02-07-2013,88.05,92.3,87.51,90.13
03-07-2013,90.4,90.98,76.98,77.53
04-07-2013,78.89,83.11,72,80.53
05-07-2013,79.99,80,65.53,68.43
06-07-2013,68.5,75,66.82,70.28
07-07-2013,68.75,74.56,66.62,74.56
08-07-2013,76.5,80,72.6,76.52
09-07-2013,76,78.3,72.52,76.69
10-07-2013,76.72,87,76.2,86.76
11-07-2013,88,90.28,85.08,88.98
12-07-2013,88.98,104,88.17,93.59
13-07-2013,93.99,98.25,88.06,98.13
14-07-2013,98.7,98.7,92.86,94.69
15-07-2013,93.61,101.9,93.11,98.4
16-07-2013,98.89,99.86,96.14,97.45
17-07-2013,96.71,99.97,96.18,98.5
18-07-2013,98.5,98.8,86.2,90.58
19-07-2013,90.07,95.2,87.8,92.17
20-07-2013,92,93.1,89.27,89.39
21-07-2013,89.82,91.95,88,90.76
22-07-2013,92,92,90.08,91.61
23-07-2013,91.6,96.82,91.6,95.56
24-07-2013,95.56,95.99,93,94.51
25-07-2013,94.5,97.33,93.87,96.9
26-07-2013,96.95,97.47,96,96.02
27-07-2013,96.02,97,93,94.12
28-07-2013,94.4,100.58,94,99.76
29-07-2013,98.6,102.5,98.46,101.2
30-07-2013,101.49,107.99,100.47,107.99
31-07-2013,107.95,111.34,103.88,106.09
01-08-2013,106.21,108,103.01,104
02-08-2013,104.86,108,101.21,104.5
03-08-2013,104.5,105.78,102,104
04-08-2013,104.95,105.95,103.52,105.14
05-08-2013,105.12,107.77,105,106.22
06-08-2013,106.72,107.38,105.56,106.75
07-08-2013,106.75,106.75,106.75,106.75
08-08-2013,106.75,106.75,101.26,103
