Date,High,Low,Open,Close
16-09-2014,0.00580299,0.00512251,0.00512251,0.00539852
17-09-2014,0.00552101,0.00509103,0.00539815,0.00513545
18-09-2014,0.00516744,0.00487314,0.00513386,0.00494225
19-09-2014,0.00495388,0.00473589,0.00494179,0.00477165
20-09-2014,0.00479126,0.00453999,0.00476827,0.00456989
21-09-2014,0.00467029,0.00453249,0.00456111,0.00465728
22-09-2014,0.00465607,0.00454722,0.0046552,0.00461318
23-09-2014,0.00466761,0.00451145,0.00460974,0.00466761
24-09-2014,0.00485033,0.00464191,0.00466996,0.00472228
25-09-2014,0.00473408,0.00455789,0.00472183,0.00461558
26-09-2014,0.00471691,0.00457538,0.00460747,0.00470504
27-09-2014,0.00534516,0.00465014,0.00470576,0.00528196
28-09-2014,0.00544205,0.00465835,0.00527948,0.00470454
29-09-2014,0.00470739,0.00463481,0.00470523,0.00464397
30-09-2014,0.00477234,0.00464432,0.00464498,0.00475239
01-10-2014,0.00487626,0.00475347,0.00475516,0.00487409
02-10-2014,0.00504966,0.00487527,0.00487602,0.00502282
03-10-2014,0.00520448,0.00493095,0.00502388,0.00494149
04-10-2014,0.00501199,0.00474609,0.00493456,0.00478866
05-10-2014,0.00478704,0.00470729,0.00477738,0.00472994
06-10-2014,0.00480584,0.00472672,0.00473096,0.00476536
07-10-2014,0.00480551,0.00469939,0.00476936,0.00478661
08-10-2014,0.0048786,0.00477002,0.00478738,0.0048238
09-10-2014,0.00487644,0.00481368,0.00482412,0.00487145
10-10-2014,0.00488138,0.00474788,0.0048732,0.00475305
11-10-2014,0.00486687,0.00474445,0.00475445,0.00485764
12-10-2014,0.00486707,0.00472046,0.00485316,0.00478419
13-10-2014,0.00492964,0.0047905,0.00479398,0.00487153
14-10-2014,0.00488148,0.00479108,0.00487182,0.00482708
15-10-2014,0.00485844,0.00477617,0.00482495,0.00485466
16-10-2014,0.00490967,0.00482435,0.00485525,0.00490406
17-10-2014,0.00498517,0.00489207,0.00490429,0.00496506
18-10-2014,0.00498942,0.00492313,0.0049642,0.00494914
19-10-2014,0.00508328,0.00492144,0.00494538,0.0050735
20-10-2014,0.00521586,0.00506877,0.00507192,0.00519264
21-10-2014,0.00522028,0.00517625,0.00518983,0.00518732
22-10-2014,0.00524256,0.00513442,0.00518517,0.0051418
23-10-2014,0.00515367,0.00507054,0.00514275,0.00508175
24-10-2014,0.00508739,0.00471224,0.00508271,0.00471925
25-10-2014,0.00472118,0.00452478,0.00471978,0.00454788
27-10-2014,0.00492013,0.00453363,0.00454632,0.0048914
28-10-2014,0.00489382,0.00461557,0.00489044,0.00484465
29-10-2014,0.00484808,0.00474552,0.00484033,0.00477601
30-10-2014,0.00491018,0.00476884,0.00477433,0.00488997
31-10-2014,0.00490397,0.00484856,0.00488716,0.00486669
01-11-2014,0.00487928,0.00463573,0.00486518,0.00467086
02-11-2014,0.00472267,0.00463766,0.00467368,0.00466442
03-11-2014,0.00481114,0.0046523,0.0046584,0.0048102
04-11-2014,0.00485944,0.00478046,0.00480949,0.00480483
05-11-2014,0.00487164,0.00480606,0.00480606,0.00486105
06-11-2014,0.00489826,0.00483392,0.0048611,0.00487745
07-11-2014,0.00489463,0.00485395,0.00487793,0.00487711
08-11-2014,0.00491371,0.00487686,0.00487686,0.00490699
09-11-2014,0.00494111,0.00488033,0.00490441,0.00492611
10-11-2014,0.00495641,0.00488574,0.00491962,0.00490147
11-11-2014,0.00490632,0.00487308,0.00489649,0.0048986
12-11-2014,0.00520899,0.00489665,0.00489665,0.0050974
13-11-2014,0.00529723,0.00490965,0.00512798,0.00503508
14-11-2014,0.00519666,0.00489592,0.00502243,0.00519666
15-11-2014,0.00522942,0.00501566,0.00520626,0.00505247
16-11-2014,0.00520539,0.00503916,0.00503916,0.00518113
17-11-2014,0.00537771,0.00518078,0.00518078,0.0053397
18-11-2014,0.00544913,0.00533749,0.00533749,0.00543151
19-11-2014,0.00569555,0.00542353,0.00542353,0.00569554
20-11-2014,0.00609596,0.00569247,0.00569267,0.00605795
21-11-2014,0.0066032,0.00603742,0.00607171,0.00658929
22-11-2014,0.00775991,0.00659095,0.00659095,0.00766316
23-11-2014,0.00877289,0.00766919,0.00766919,0.00859941
24-11-2014,0.00879123,0.00836152,0.00859513,0.00856188
25-11-2014,0.00984093,0.00856136,0.00856136,0.00974036
26-11-2014,0.0110138,0.00969482,0.00974221,0.0110036
27-11-2014,0.0142053,0.011004,0.011004,0.0142048
28-11-2014,0.0152966,0.0137571,0.014201,0.0151648
29-11-2014,0.0151604,0.0139819,0.0151604,0.0139819
30-11-2014,0.0139772,0.0111819,0.0139772,0.0112114
01-12-2014,0.0125723,0.00810471,0.0112038,0.0125585
02-12-2014,0.013307,0.012568,0.0125865,0.0131579
03-12-2014,0.0131852,0.0129178,0.0131643,0.0131302
04-12-2014,0.0133478,0.013137,0.013137,0.0133431
05-12-2014,0.0137982,0.0133112,0.0133362,0.0137849
06-12-2014,0.0144124,0.0137261,0.0137713,0.0144061
07-12-2014,0.0147942,0.0143876,0.014406,0.0147942
08-12-2014,0.015188,0.0131902,0.0147929,0.0134206
09-12-2014,0.0150707,0.0132683,0.0134179,0.0150682
10-12-2014,0.015933201,0.0150147,0.0150706,0.0159075
11-12-2014,0.0163741,0.015805099,0.0158852,0.0163741
12-12-2014,0.0163741,0.0163741,0.0163741,0.0163741
13-12-2014,0.017181801,0.0163741,0.0163741,0.016992301
14-12-2014,0.0172181,0.0169771,0.0169909,0.0171268
15-12-2014,0.0182415,0.017095599,0.017114799,0.0182415
16-12-2014,0.021681299,0.018206799,0.018246301,0.0215386
17-12-2014,0.0260647,0.0215117,0.0215533,0.0260647
18-12-2014,0.0280145,0.0255113,0.026025699,0.027939901
19-12-2014,0.028033899,0.0233381,0.027974701,0.0233381
20-12-2014,0.0242071,0.0226439,0.023352399,0.0242071
21-12-2014,0.025171099,0.0241831,0.0242253,0.024920501
22-12-2014,0.0257177,0.0248676,0.024870099,0.025562
23-12-2014,0.025610801,0.023877701,0.025555501,0.023877701
24-12-2014,0.023852,0.023159901,0.023838,0.023382399
25-12-2014,0.0241383,0.0233873,0.023388,0.0241383
26-12-2014,0.0253943,0.024146101,0.024146101,0.025308
27-12-2014,0.025335001,0.0240671,0.0252987,0.0240738
28-12-2014,0.0241805,0.023610899,0.024078,0.0237638
29-12-2014,0.024293801,0.023774199,0.023777699,0.0242313
30-12-2014,0.024277899,0.024040399,0.024228601,0.0242004
31-12-2014,0.024437999,0.0241517,0.024193799,0.024437999
01-01-2015,0.024454899,0.024204601,0.024454899,0.0243901
02-01-2015,0.024422999,0.024309199,0.0243771,0.024318499
03-01-2015,0.024316801,0.022105901,0.024297399,0.022105901
04-01-2015,0.0221422,0.0188279,0.0221001,0.0189279
05-01-2015,0.020315999,0.0188902,0.018943099,0.020315999
06-01-2015,0.0207451,0.0202822,0.020325201,0.020732099
07-01-2015,0.0208994,0.0204916,0.020727299,0.020843299
08-01-2015,0.0209166,0.020667899,0.020842699,0.020676
09-01-2015,0.020665299,0.0205121,0.0206501,0.020576
10-01-2015,0.020623,0.0192296,0.020623,0.019233299
11-01-2015,0.019287501,0.018755401,0.0192443,0.018765099
12-01-2015,0.018852601,0.0184344,0.0187818,0.0184344
13-01-2015,0.020768501,0.0155989,0.018427899,0.015648
14-01-2015,0.022335,0.0141127,0.0156113,0.0142325
15-01-2015,0.016535699,0.0142044,0.0142044,0.016444201
16-01-2015,0.017093901,0.0163606,0.016449301,0.016403001
17-01-2015,0.016401401,0.0153612,0.016393101,0.0153614
18-01-2015,0.0158058,0.0150916,0.015386,0.0156222
19-01-2015,0.0160171,0.0156512,0.015656799,0.015990701
20-01-2015,0.0161137,0.0158503,0.0159468,0.016112
21-01-2015,0.0167174,0.0161076,0.0161076,0.016652999
22-01-2015,0.017041801,0.016671101,0.0167001,0.017009901
23-01-2015,0.017013401,0.0166943,0.0170126,0.0167337
24-01-2015,0.0168682,0.0165984,0.016719799,0.0167358
25-01-2015,0.0169183,0.016392799,0.016703101,0.0165783
26-01-2015,0.0178081,0.0158312,0.0165863,0.0160188
27-01-2015,0.016064901,0.0154614,0.016007099,0.015840501
28-01-2015,0.0159324,0.0149185,0.015835701,0.0149702
29-01-2015,0.0149885,0.0145378,0.0149657,0.0147058
30-01-2015,0.014815,0.0144384,0.0146909,0.014443
31-01-2015,0.01464,0.0142707,0.0144406,0.014298
01-02-2015,0.0143307,0.0140882,0.0142863,0.0141386
02-02-2015,0.0141994,0.0135337,0.0141371,0.0136701
03-02-2015,0.0137112,0.0129828,0.0136583,0.0130252
04-02-2015,0.0135257,0.0130269,0.0130269,0.0134982
05-02-2015,0.0144725,0.0135026,0.0135026,0.0144663
06-02-2015,0.0154942,0.0144732,0.0144732,0.0151853
07-02-2015,0.015193,0.0144589,0.0151862,0.0145771
08-02-2015,0.0146512,0.0143978,0.0145761,0.0144265
09-02-2015,0.0144332,0.0139944,0.0144304,0.0139944
10-02-2015,0.0140066,0.0136265,0.0140033,0.0136488
11-02-2015,0.0137804,0.0135877,0.0136426,0.0137764
12-02-2015,0.0140685,0.0137739,0.0137802,0.0140395
13-02-2015,0.014661,0.0140306,0.0140306,0.0145655
14-02-2015,0.015029,0.0145638,0.0145638,0.0149557
15-02-2015,0.0150379,0.0135663,0.0149415,0.0137124
16-02-2015,0.0138528,0.0135797,0.0137455,0.0137499
17-02-2015,0.0140481,0.0137223,0.0137513,0.0140307
18-02-2015,0.0140493,0.0137187,0.0140283,0.0137907
19-02-2015,0.0138509,0.0137579,0.0138064,0.0137579
20-02-2015,0.0137647,0.0134808,0.0137413,0.0134808
21-02-2015,0.0135374,0.0132436,0.0134616,0.0132858
22-02-2015,0.0133755,0.0130796,0.0132894,0.0131296
23-02-2015,0.0133632,0.01311,0.0131244,0.0133343
24-02-2015,0.0134241,0.0133448,0.0133507,0.0133964
25-02-2015,0.0134716,0.0133903,0.013403,0.0134012
26-02-2015,0.013414,0.0132573,0.0134047,0.0132989
27-02-2015,0.0135471,0.0132867,0.0132944,0.0133598
28-02-2015,0.0133676,0.012995,0.0133567,0.0129979
01-03-2015,0.0129923,0.0121423,0.0129923,0.0122386
02-03-2015,0.0122348,0.0119313,0.0122332,0.0121921
03-03-2015,0.0121932,0.0105928,0.0121909,0.0105928
04-03-2015,0.0102218,0.00975957,0.0102218,0.010032
05-03-2015,0.0116133,0.0100556,0.0100556,0.0115435
